user,day,login_count,after_hours_logins,usb_events,files_accessed,unique_files,websites_visited,unique_domains,wikileaks_visits,job_site_visits,keylogger_downloads,email_count,email_size,attachments,risk_level,triggered_rules,rule_count,rule_score,rank
LQC0479,2010-09-14,6,2,14.0,22.0,22.0,165.0,49.0,1.0,5.0,0.0,15.0,399589.0,0.0,ALERT,Scenario 1: after-hours USB use with WikiLeaks upload; Scenario 2: job search followed by high USB activity; High web and usb activity,3,9,1
JDB0169,2010-09-01,3,0,18.0,18.0,18.0,162.0,53.0,0.0,4.0,0.0,14.0,428844.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,16
LCB0664,2010-09-01,3,0,18.0,0.0,0.0,135.0,40.0,0.0,4.0,0.0,14.0,403053.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,17
QRM0739,2010-09-01,2,0,18.0,16.0,16.0,162.0,38.0,0.0,11.0,0.0,16.0,510277.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,18
SGM0021,2010-09-01,3,0,6.0,7.0,7.0,114.0,40.0,0.0,5.0,0.0,11.0,376305.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,19
THR0873,2010-09-01,2,0,14.0,27.0,27.0,170.0,46.0,0.0,1.0,0.0,15.0,500951.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,20
VIA0063,2010-09-01,2,0,12.0,22.0,22.0,143.0,48.0,0.0,2.0,0.0,14.0,422312.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,21
VSS0154,2010-09-01,2,0,8.0,1.0,1.0,114.0,30.0,0.0,8.0,0.0,11.0,294830.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,22
AJF0370,2010-09-02,11,4,26.0,41.0,41.0,114.0,50.0,0.0,9.0,0.0,11.0,339346.0,14.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,23
BSS0369,2010-09-02,4,2,20.0,3.0,3.0,120.0,42.0,0.0,10.0,0.0,10.0,312357.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,24
CCA0046,2010-09-02,10,6,12.0,19.0,19.0,114.0,36.0,0.0,1.0,0.0,11.0,277214.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,25
DLM0051,2010-09-02,3,0,16.0,27.0,27.0,190.0,49.0,0.0,21.0,0.0,18.0,485773.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,26
HDS0367,2010-09-02,11,4,8.0,9.0,9.0,114.0,48.0,0.0,7.0,0.0,11.0,341141.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,27
IBB0359,2010-09-02,7,4,22.0,7.0,7.0,114.0,23.0,0.0,18.0,0.0,11.0,317203.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,28
JDB0169,2010-09-02,3,0,16.0,24.0,24.0,162.0,58.0,0.0,5.0,0.0,14.0,328226.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,29
KRL0501,2010-09-02,2,0,6.0,0.0,0.0,162.0,48.0,0.0,1.0,0.0,15.0,413027.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,30
LCB0664,2010-09-02,3,0,18.0,4.0,4.0,135.0,41.0,0.0,7.0,0.0,14.0,406270.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,31
QRM0739,2010-09-02,2,0,16.0,18.0,18.0,162.0,13.0,0.0,6.0,0.0,15.0,437156.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,32
RNP0211,2010-09-02,3,0,6.0,10.0,10.0,143.0,45.0,0.0,2.0,0.0,14.0,381566.0,13.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,33
SGM0021,2010-09-02,2,0,6.0,15.0,15.0,114.0,42.0,0.0,3.0,0.0,11.0,376857.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,34
THR0873,2010-09-02,2,0,13.0,26.0,26.0,170.0,45.0,0.0,3.0,0.0,15.0,461647.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,35
VIA0063,2010-09-02,2,0,16.0,27.0,27.0,143.0,44.0,0.0,2.0,0.0,8.0,245517.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,36
AJF0370,2010-09-03,11,0,26.0,31.0,31.0,114.0,53.0,0.0,11.0,0.0,8.0,239337.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,37
BSS0369,2010-09-03,10,6,26.0,6.0,6.0,120.0,40.0,0.0,7.0,0.0,10.0,306328.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,38
CCA0046,2010-09-03,12,6,14.0,7.0,7.0,114.0,29.0,0.0,3.0,0.0,11.0,317615.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,39
DLM0051,2010-09-03,3,0,18.0,26.0,26.0,190.0,51.0,0.0,30.0,0.0,18.0,522466.0,16.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,40
HDS0367,2010-09-03,9,5,8.0,3.0,3.0,114.0,41.0,0.0,7.0,0.0,11.0,280017.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,41
HPH0075,2010-09-03,3,0,16.0,24.0,24.0,180.0,50.0,0.0,4.0,0.0,6.0,173075.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,42
IBB0359,2010-09-03,9,2,20.0,9.0,9.0,114.0,57.0,0.0,13.0,0.0,11.0,324567.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,43
JDB0169,2010-09-03,3,0,18.0,18.0,18.0,162.0,57.0,0.0,7.0,0.0,13.0,392429.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,44
LCB0664,2010-09-03,3,0,18.0,2.0,2.0,135.0,30.0,0.0,1.0,0.0,14.0,361137.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,45
OBH0499,2010-09-03,3,0,18.0,0.0,0.0,162.0,42.0,0.0,5.0,0.0,15.0,430487.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,46
QRM0739,2010-09-03,2,0,18.0,24.0,24.0,162.0,26.0,0.0,3.0,0.0,16.0,503563.0,14.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,47
SGM0021,2010-09-03,3,0,6.0,7.0,7.0,114.0,43.0,0.0,1.0,0.0,11.0,342693.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,48
THR0873,2010-09-03,2,0,16.0,27.0,27.0,170.0,53.0,0.0,3.0,0.0,14.0,440318.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,49
VIA0063,2010-09-03,2,0,12.0,27.0,27.0,143.0,49.0,0.0,4.0,0.0,14.0,441407.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,50
WXH0872,2010-09-03,2,0,6.0,1.0,1.0,162.0,42.0,0.0,8.0,0.0,15.0,484720.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,51
XHW0498,2010-09-03,2,0,6.0,0.0,0.0,168.0,48.0,0.0,2.0,0.0,15.0,429821.0,24.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,52
BSS0369,2010-09-04,6,4,22.0,7.0,7.0,120.0,30.0,0.0,12.0,0.0,10.0,291326.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,53
HPH0075,2010-09-04,3,0,16.0,25.0,25.0,180.0,48.0,0.0,7.0,0.0,19.0,606024.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,54
DLM0051,2010-09-05,5,0,18.0,27.0,27.0,190.0,41.0,0.0,1.0,0.0,18.0,557330.0,18.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,55
HPH0075,2010-09-05,3,0,14.0,19.0,19.0,180.0,40.0,0.0,1.0,0.0,18.0,563642.0,21.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,56
AJF0370,2010-09-06,7,0,18.0,32.0,32.0,114.0,48.0,0.0,7.0,0.0,11.0,325575.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,57
AJF0370,2010-09-07,9,2,24.0,34.0,34.0,114.0,43.0,0.0,2.0,0.0,11.0,359167.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,58
AJN0607,2010-09-07,4,0,6.0,2.0,2.0,162.0,49.0,0.0,3.0,0.0,15.0,432239.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,59
CAB0614,2010-09-07,5,0,6.0,5.0,5.0,162.0,68.0,0.0,10.0,0.0,16.0,488638.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,60
DIW0118,2010-09-07,4,0,6.0,6.0,6.0,143.0,45.0,0.0,6.0,0.0,14.0,457887.0,8.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,61
DLM0051,2010-09-07,4,0,18.0,24.0,24.0,190.0,43.0,0.0,10.0,0.0,18.0,550591.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,62
HDS0367,2010-09-07,6,2,8.0,11.0,11.0,114.0,51.0,0.0,11.0,0.0,11.0,344496.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,63
HPH0075,2010-09-07,2,0,16.0,21.0,21.0,180.0,26.0,0.0,34.0,0.0,19.0,490651.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,64
IBB0359,2010-09-07,4,0,20.0,4.0,4.0,114.0,48.0,0.0,15.0,0.0,11.0,337350.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,65
JJM0203,2010-09-07,2,0,6.0,3.0,3.0,104.0,26.0,0.0,3.0,0.0,12.0,406916.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,66
OBH0499,2010-09-07,3,0,16.0,0.0,0.0,162.0,49.0,0.0,11.0,0.0,15.0,503822.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,67
QRM0739,2010-09-07,2,0,18.0,25.0,25.0,162.0,28.0,0.0,5.0,0.0,15.0,362390.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,68
RNP0211,2010-09-07,2,0,8.0,2.0,2.0,143.0,38.0,0.0,6.0,0.0,14.0,440825.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,69
SGM0021,2010-09-07,3,0,9.0,9.0,9.0,114.0,32.0,0.0,2.0,0.0,11.0,377152.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,70
VIA0063,2010-09-07,2,0,14.0,24.0,24.0,143.0,51.0,0.0,3.0,0.0,13.0,371858.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,71
AJF0370,2010-09-08,10,2,23.0,38.0,38.0,114.0,36.0,0.0,7.0,0.0,11.0,353361.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,72
AJN0607,2010-09-08,3,0,8.0,4.0,4.0,162.0,12.0,0.0,47.0,0.0,15.0,445879.0,13.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,73
BSS0369,2010-09-08,8,4,24.0,9.0,9.0,120.0,40.0,0.0,8.0,0.0,9.0,254122.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,74
DLM0051,2010-09-08,3,0,16.0,27.0,27.0,190.0,54.0,0.0,31.0,0.0,17.0,545302.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,75
FSC0601,2010-09-08,2,0,6.0,4.0,4.0,162.0,45.0,0.0,1.0,0.0,14.0,397831.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,76
HPH0075,2010-09-08,3,0,14.0,24.0,24.0,180.0,49.0,0.0,8.0,0.0,19.0,584955.0,14.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,77
IBB0359,2010-09-08,7,0,22.0,11.0,11.0,114.0,52.0,0.0,10.0,0.0,11.0,298329.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,78
JJM0203,2010-09-08,3,0,6.0,0.0,0.0,103.0,42.0,0.0,6.0,0.0,9.0,307109.0,13.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,79
LCB0664,2010-09-08,3,0,18.0,0.0,0.0,135.0,36.0,0.0,3.0,0.0,14.0,430311.0,3.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,80
QRM0739,2010-09-08,2,0,18.0,27.0,27.0,162.0,12.0,0.0,6.0,0.0,16.0,473951.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,81
RNP0211,2010-09-08,3,0,8.0,11.0,11.0,143.0,37.0,0.0,9.0,0.0,13.0,419409.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,82
SGM0021,2010-09-08,3,0,8.0,5.0,5.0,114.0,44.0,0.0,2.0,0.0,11.0,321532.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,83
THR0873,2010-09-08,2,0,16.0,20.0,20.0,170.0,46.0,0.0,1.0,0.0,15.0,469970.0,21.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,84
VIA0063,2010-09-08,2,0,18.0,20.0,20.0,143.0,41.0,0.0,15.0,0.0,14.0,398263.0,8.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,85
XHW0498,2010-09-08,2,0,12.0,10.0,10.0,164.0,44.0,0.0,4.0,0.0,17.0,537669.0,8.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,86
AJF0370,2010-09-09,6,3,22.0,21.0,21.0,114.0,59.0,0.0,5.0,0.0,11.0,293105.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,87
AJN0607,2010-09-09,5,0,6.0,5.0,5.0,162.0,35.0,0.0,8.0,0.0,15.0,493226.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,88
BSS0369,2010-09-09,10,4,24.0,10.0,10.0,120.0,37.0,0.0,20.0,0.0,10.0,253309.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,89
CTA0020,2010-09-09,3,0,18.0,1.0,1.0,108.0,41.0,0.0,1.0,0.0,11.0,327836.0,16.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,90
DIW0118,2010-09-09,5,0,8.0,2.0,2.0,143.0,49.0,0.0,10.0,0.0,14.0,420626.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,91
DLM0051,2010-09-09,3,0,18.0,24.0,24.0,190.0,27.0,0.0,6.0,0.0,18.0,591980.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,92
HDS0367,2010-09-09,11,2,10.0,13.0,13.0,114.0,43.0,0.0,13.0,0.0,10.0,360213.0,16.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,93
IBB0359,2010-09-09,5,0,20.0,1.0,1.0,114.0,31.0,0.0,1.0,0.0,10.0,261274.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,94
KCS0173,2010-09-09,3,0,6.0,1.0,1.0,153.0,34.0,0.0,7.0,0.0,14.0,422298.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,95
LCB0664,2010-09-09,3,0,16.0,4.0,4.0,135.0,43.0,0.0,3.0,0.0,14.0,483825.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,96
QRM0739,2010-09-09,2,0,18.0,23.0,23.0,162.0,38.0,0.0,11.0,0.0,16.0,464748.0,8.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,97
VIA0063,2010-09-09,2,0,18.0,21.0,21.0,143.0,53.0,0.0,5.0,0.0,14.0,463414.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,98
WXH0872,2010-09-09,2,0,6.0,0.0,0.0,162.0,37.0,0.0,1.0,0.0,14.0,413469.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,99
AJF0370,2010-09-10,4,0,20.0,22.0,22.0,114.0,47.0,0.0,7.0,0.0,11.0,391184.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,100
DLM0051,2010-09-10,3,0,16.0,26.0,26.0,190.0,55.0,0.0,10.0,0.0,18.0,576348.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,101
HDS0367,2010-09-10,7,0,8.0,5.0,5.0,114.0,25.0,0.0,18.0,0.0,11.0,353172.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,102
HPH0075,2010-09-10,3,0,14.0,24.0,24.0,180.0,47.0,0.0,3.0,0.0,19.0,537833.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,103
IBB0359,2010-09-10,11,2,22.0,10.0,10.0,114.0,28.0,0.0,15.0,0.0,10.0,283357.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,104
JDB0169,2010-09-10,3,0,18.0,21.0,21.0,162.0,50.0,0.0,1.0,0.0,14.0,483243.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,105
OBH0499,2010-09-10,3,0,18.0,0.0,0.0,162.0,43.0,0.0,5.0,0.0,14.0,442039.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,106
QRM0739,2010-09-10,2,0,18.0,27.0,27.0,162.0,37.0,0.0,9.0,0.0,14.0,441067.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,107
XHW0498,2010-09-10,2,0,12.0,7.0,7.0,162.0,55.0,0.0,6.0,0.0,15.0,443428.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,108
BSS0369,2010-09-11,4,0,18.0,11.0,11.0,120.0,45.0,0.0,4.0,0.0,10.0,227359.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,109
DLM0051,2010-09-11,5,0,17.0,26.0,26.0,190.0,59.0,0.0,21.0,0.0,18.0,529418.0,19.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,110
OBH0499,2010-09-11,5,3,17.0,0.0,0.0,162.0,58.0,0.0,3.0,0.0,15.0,521985.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,111
HPH0075,2010-09-12,3,0,16.0,25.0,25.0,180.0,24.0,0.0,1.0,0.0,19.0,554076.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,112
AJF0370,2010-09-13,13,6,28.0,49.0,49.0,114.0,43.0,0.0,17.0,0.0,1.0,27227.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,113
AJN0607,2010-09-13,5,0,8.0,1.0,1.0,162.0,28.0,0.0,2.0,0.0,15.0,440826.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,114
BSS0369,2010-09-13,4,2,20.0,6.0,6.0,120.0,38.0,0.0,10.0,0.0,6.0,162345.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,115
DIW0118,2010-09-13,5,0,6.0,10.0,10.0,143.0,48.0,0.0,12.0,0.0,14.0,450670.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,116
DLM0051,2010-09-13,3,0,18.0,27.0,27.0,190.0,52.0,0.0,15.0,0.0,18.0,531570.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,117
EIS0041,2010-09-13,8,0,6.0,14.0,14.0,114.0,23.0,0.0,5.0,0.0,10.0,292741.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,118
GKO0078,2010-09-13,4,0,6.0,3.0,3.0,190.0,50.0,0.0,7.0,0.0,18.0,569172.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,119
HDS0367,2010-09-13,6,2,10.0,8.0,8.0,114.0,41.0,0.0,9.0,0.0,11.0,284422.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,120
HPH0075,2010-09-13,2,0,18.0,24.0,24.0,180.0,44.0,0.0,3.0,0.0,19.0,566940.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,121
IBB0359,2010-09-13,4,2,20.0,1.0,1.0,114.0,52.0,0.0,4.0,0.0,11.0,287657.0,13.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,122
LCB0664,2010-09-13,5,0,18.0,2.0,2.0,135.0,35.0,0.0,2.0,0.0,12.0,381083.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,123
OBH0499,2010-09-13,3,0,18.0,2.0,2.0,162.0,58.0,0.0,2.0,0.0,15.0,472345.0,15.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,124
QRM0739,2010-09-13,2,0,18.0,24.0,24.0,162.0,25.0,0.0,1.0,0.0,16.0,465706.0,16.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,125
SGM0021,2010-09-13,3,0,6.0,7.0,7.0,114.0,45.0,0.0,1.0,0.0,11.0,350812.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,126
THR0873,2010-09-13,2,0,18.0,27.0,27.0,170.0,45.0,0.0,1.0,0.0,15.0,494646.0,5.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,127
VIA0063,2010-09-13,2,0,16.0,21.0,21.0,143.0,60.0,0.0,6.0,0.0,14.0,458989.0,7.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,128
XHW0498,2010-09-13,2,0,12.0,4.0,4.0,162.0,39.0,0.0,1.0,0.0,15.0,458840.0,21.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,129
AJF0370,2010-09-14,13,6,26.0,37.0,37.0,114.0,51.0,0.0,15.0,0.0,11.0,308686.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,130
AJN0607,2010-09-14,4,0,6.0,7.0,7.0,162.0,44.0,0.0,3.0,0.0,15.0,399270.0,17.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,131
BSS0369,2010-09-14,12,2,26.0,9.0,9.0,120.0,43.0,0.0,15.0,0.0,10.0,304526.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,132
CCA0046,2010-09-14,12,4,12.0,13.0,13.0,114.0,31.0,0.0,1.0,0.0,11.0,374217.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,133
DLM0051,2010-09-14,3,0,18.0,24.0,24.0,190.0,55.0,0.0,29.0,0.0,17.0,467357.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,134
HDS0367,2010-09-14,6,0,6.0,0.0,0.0,114.0,19.0,0.0,25.0,0.0,11.0,296230.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,135
HPH0075,2010-09-14,2,0,18.0,26.0,26.0,180.0,30.0,0.0,5.0,0.0,17.0,478751.0,11.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,136
IBB0359,2010-09-14,11,2,23.0,8.0,8.0,114.0,50.0,0.0,9.0,0.0,11.0,337723.0,6.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,137
